feature,importance_gain,importance_split
vwap_lower_2sigma,455,455
hora_decimal,313,313
inter_macro_x_micro,280,280
win_price_lag10,249,249
corr_grp_ACOES_BRASIL_chg,248,248
sym_IVVB11_chg,225,225
micro_score_lag3,207,207
micro_score_roll20_std,196,196
macro_confidence,194,194
micro_score_roll20_mean,194,194
ind_ADX_14_val,190,190
macro_score_final_roll5_ema,177,177
corr_grp_CRIPTOMOEDAS_chg,161,161
macro_score_final_roll20_ema,156,156
ind_ADX_14_val_delta3,154,154
correct_streak,149,149
dist_upper_2s_pct,144,144
macro_score_final_roll10_pos,132,132
corr_grp_PETROLEO_ENERGIA_chg,131,131
vwap_position,130,130
ind_RSI_14_val_roll10_std,125,125
macro_score_final_roll20_mean,121,121
corr_grp_COMMODITIES_chg,120,120
sym_PETR4_chg,102,102
micro_score_roll10_std,96,96
micro_score_roll5_std,93,93
macro_score_final_roll10_std,92,92
vwap_band_width_pct,91,91
ind_ADX_14_val_lag5,88,88
corr_grp_RISCO_PAIS_chg,81,81
dist_upper_1s_pct,80,80
corr_grp_JUROS_RENDA_FIXA_chg,78,78
micro_score_lag5,76,76
minutos_desde_abertura,76,76
micro_score_roll20_ema,75,75
macro_score_final_lag5,74,74
macro_score_final,74,74
ind_ADX_14_val_lag10,70,70
ind_RSI_14_val_lag10,69,69
ind_RSI_14_val,67,67
win_price_delta1_pct,65,65
ind_RSI_14_val_roll20_std,63,63
inter_macro_x_adx,59,59
corr_grp_INDICES_GLOBAIS_chg,58,58
ind_RSI_14_val_lag1,57,57
ind_ADX_14_val_lag1,55,55
corr_grp_ACOES_BRASIL_score,54,54
macro_score_final_roll10_mean,54,54
micro_score_lag10,51,51
corr_grp_mean_score,50,50
win_price_lag3,50,50
ind_RSI_14_val_roll20_mean,50,50
sym_PRIO3_chg,49,49
corr_grp_EMERGENTES_chg,48,48
ind_RSI_14_val_delta1,47,47
ind_RSI_14_val_lag5,44,44
ind_RSI_14_val_delta3,43,43
macro_score_final_lag1,43,43
macro_score_final_roll20_std,43,43
win_price_delta1,43,43
vwap_value,41,41
micro_score_roll5_mean,41,41
macro_score_final_roll10_ema,38,38
corr_grp_INDICES_GLOBAIS_score,35,35
corr_grp_CURVA_JUROS_score,35,35
macro_negative_streak,33,33
ind_ADX_14_val_lag3,33,33
micro_score_roll10_ema,31,31
win_price,30,30
dist_pivot_s2_pct,29,29
win_price_lag5,29,29
corr_grp_FOREX_chg,29,29
ind_ADX_14_val_delta5,27,27
ind_RSI_14_val_roll5_std,27,27
corr_grp_CURVA_JUROS_chg,26,26
vwap_upper_1sigma,26,26
micro_score_roll5_ema,25,25
smc_fvg_score,23,23
macro_score_final_roll20_pos,23,23
sym_DI1_N_chg,23,23
price_vs_vwap_pct,23,23
ind_RSI_14_val_roll20_ema,22,22
ind_ADX_14_val_delta1,22,22
micro_score_roll10_mean,22,22
ind_EMA_9_val,21,21
win_price_delta3,21,21
sym_VALE3_chg,20,20
macro_score_final_delta5,20,20
dist_lower_2s_pct,19,19
win_price_delta3_pct,17,17
ind_RSI_14_val_roll10_mean,17,17
ind_RSI_14_val_roll5_pos,17,17
corr_grp_n_negative,17,17
macro_score_final_lag10,16,16
win_price_lag1,15,15
win_price_delta5_pct,13,13
vwap_lower_1sigma,13,13
micro_score_lag1,12,12
ind_RSI_14_val_roll10_pos,12,12
sym_BBAS3_chg,12,12
dist_lower_1s_pct,12,12
macro_score_final_delta3,12,12
corr_grp_DOLAR_CAMBIO_chg,11,11
micro_score_roll20_pos,11,11
win_price_delta5,10,10
ind_RSI_14_val_roll5_ema,10,10
corr_grp_INDICES_BRASIL_chg,10,10
corr_grp_PETROLEO_ENERGIA_score,9,9
ind_RSI_14_val_roll5_mean,9,9
micro_score_roll10_pos,9,9
macro_score_final_lag3,9,9
ind_RSI_14_val_roll20_pos,8,8
